DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
11 , 20 , 84 , 133 , 124 , 181 , 175 , 227 , 246 , " (172.207,172.207) [8700,46400] " , " (994.777,994.777) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (14.8367,14.8367) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2200.88,2200.88) [2000,2350] " , " (24.5583,24.5583) [15,30] " , " (2,2) [2,4] " , " (3,3) [2,3] " , " (177.008,177.008) [50,455] " , " (3414.61,3414.61) [1000,4000] " , " (3.2,3.2) [1,3] " , " (3.9,3.9) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2,2) [3,4] " , " (1.5,1.5) [1,2] " , " (3,3) [1,2] "
12 , 66 , 96 , 129 , 125 , 185 , 151 , 192 , 272 , " (218.823,218.823) [8700,46400] " , " (697.4,697.4) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (2.7,2.7) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.27,12.27) [638,1044] " , " (0,0) [1,2] " , " (2166.73,2166.73) [2000,2350] " , " (32.3607,32.3607) [15,30] " , " (2.76,2.76) [2,4] " , " (2,2) [2,3] " , " (258.875,258.875) [50,455] " , " (2298.25,2298.25) [1000,4000] " , " (2.37,2.37) [1,3] " , " (1.54,1.54) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (10.4,10.4) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.16,2.16) [1,2] " , " (1,1) [1,2] "
13 , 11 , 112 , 134 , 131 , 143 , 160 , 193 , 260 , " (142.342,142.342) [8700,46400] " , " (643.2,643.2) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (5.16667,5.16667) [3,4] " , " (0,0) [0,1] " , " (0.95,0.95) [1,2] " , " (11.4,11.4) [638,1044] " , " (1.6,1.6) [1,2] " , " (2261.21,2261.21) [2000,2350] " , " (35.29,35.29) [15,30] " , " (1.91667,1.91667) [2,4] " , " (2,2) [2,3] " , " (414.625,414.625) [50,455] " , " (3096.61,3096.61) [1000,4000] " , " (4.62,4.62) [1,3] " , " (4.13333,4.13333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9.8,9.8) [8,9] " , " (2.83333,2.83333) [3,4] " , " (2.25,2.25) [1,2] " , " (4,4) [1,2] "
14 , 66 , 113 , 121 , 124 , 185 , 151 , 235 , 285 , " (165.24,165.24) [8700,46400] " , " (705.3,705.3) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.9027,11.9027) [638,1044] " , " (0,0) [1,2] " , " (2184.83,2184.83) [2000,2350] " , " (34.36,34.36) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (273.185,273.185) [50,455] " , " (3198.2,3198.2) [1000,4000] " , " (3.03667,3.03667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.19,9.19) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (1.33333,1.33333) [1,2] "
15 , 20 , 84 , 132 , 133 , 160 , 180 , 227 , 246 , " (90.7117,90.7117) [8700,46400] " , " (944.727,944.727) [43500,75400] " , " (1,1) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.695,11.695) [638,1044] " , " (1,1) [1,2] " , " (2256.72,2256.72) [2000,2350] " , " (26.0212,26.0212) [15,30] " , " (1.25,1.25) [2,4] " , " (3,3) [2,3] " , " (167.908,167.908) [50,455] " , " (2871.31,2871.31) [1000,4000] " , " (3.5,3.5) [1,3] " , " (3.9,3.9) [0,7] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2.33333,2.33333) [3,4] " , " (1.78571,1.78571) [1,2] " , " (3.5,3.5) [1,2] "
16 , 11 , 112 , 129 , 118 , 147 , 143 , 193 , 260 , " (118.787,118.787) [8700,46400] " , " (669.31,669.31) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (12.9,12.9) [638,1044] " , " (1.6,1.6) [1,2] " , " (2215.26,2215.26) [2000,2350] " , " (34.885,34.885) [15,30] " , " (2.11667,2.11667) [2,4] " , " (2,2) [2,3] " , " (425.817,425.817) [50,455] " , " (4222.35,4222.35) [1000,4000] " , " (4.42667,4.42667) [1,3] " , " (4.38333,4.38333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9.3,9.3) [8,9] " , " (3,3) [3,4] " , " (2.25,2.25) [1,2] " , " (4,4) [1,2] "
17 , 66 , 113 , 121 , 124 , 185 , 151 , 235 , 285 , " (165.24,165.24) [8700,46400] " , " (705.3,705.3) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.9027,11.9027) [638,1044] " , " (0,0) [1,2] " , " (2184.83,2184.83) [2000,2350] " , " (34.36,34.36) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (273.185,273.185) [50,455] " , " (3198.2,3198.2) [1000,4000] " , " (3.03667,3.03667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.19,9.19) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (1.33333,1.33333) [1,2] "
18 , 20 , 84 , 134 , 125 , 180 , 181 , 227 , 246 , " (114.347,114.347) [8700,46400] " , " (1098.08,1098.08) [43500,75400] " , " (1,1) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.2117,12.2117) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2226.95,2226.95) [2000,2350] " , " (21.5333,21.5333) [15,30] " , " (1,1) [2,4] " , " (3,3) [2,3] " , " (207.458,207.458) [50,455] " , " (2634.01,2634.01) [1000,4000] " , " (2.51667,2.51667) [1,3] " , " (6.2,6.2) [0,7] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2.33333,2.33333) [3,4] " , " (1.5,1.5) [1,2] " , " (3,3) [1,2] "
19 , 31 , 88 , 131 , 129 , 145 , 145 , 221 , 259 , " (239.591,239.591) [8700,46400] " , " (1220,1220) [43500,75400] " , " (0.333333,0.333333) [0,1] " , " (1,1) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (12.8167,12.8167) [638,1044] " , " (1.06667,1.06667) [1,2] " , " (2300.95,2300.95) [2000,2350] " , " (38.3717,38.3717) [15,30] " , " (2.4,2.4) [2,4] " , " (0,0) [2,3] " , " (138.45,138.45) [50,455] " , " (3680.12,3680.12) [1000,4000] " , " (3.30167,3.30167) [1,3] " , " (1.76,1.76) [0,7] " , " (2,2) [1,2] " , " (4,4) [1,2] " , " (12,12) [8,9] " , " (1.33333,1.33333) [3,4] " , " (3,3) [1,2] " , " (0,0) [1,2] "
20 , 66 , 113 , 121 , 124 , 185 , 151 , 235 , 285 , " (165.24,165.24) [8700,46400] " , " (705.3,705.3) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.9027,11.9027) [638,1044] " , " (0,0) [1,2] " , " (2184.83,2184.83) [2000,2350] " , " (34.36,34.36) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (273.185,273.185) [50,455] " , " (3198.2,3198.2) [1000,4000] " , " (3.03667,3.03667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.19,9.19) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (1.33333,1.33333) [1,2] "
