DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
11 , 11 , 107 , 131 , 129 , 184 , 184 , 210 , 283 , " (111.276,111.276) [8700,46400] " , " (962.675,962.675) [43500,75400] " , " (0,0) [0,1] " , " (1.14286,1.14286) [1,2] " , " (3.5,3.5) [3,4] " , " (0,0) [0,1] " , " (1.55,1.55) [1,2] " , " (11.4833,11.4833) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2081.23,2082) [2000,2350] " , " (25.253,25.253) [15,30] " , " (3.10196,3.10196) [2,4] " , " (2.33333,2.33333) [2,3] " , " (454.775,454.775) [50,455] " , " (2938.51,2938.61) [1000,4000] " , " (1.36,1.35) [1,3] " , " (2.17143,2.17143) [0,7] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] " , " (8.25,8.25) [8,9] " , " (3.56667,3.56667) [3,4] " , " (1.25,1.25) [1,2] " , " (2,2) [1,2] "
12 , 8 , 95 , 128 , 119 , 175 , 175 , 235 , 274 , " (177.598,150.476) [8700,46400] " , " (781.283,784.658) [43500,75400] " , " (0,0) [0,1] " , " (1,1.33333) [1,2] " , " (3.6,3.6) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (11.7833,12.0083) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2032.51,2092.33) [2000,2350] " , " (28.5392,29.613) [15,30] " , " (2.73529,2.73529) [2,4] " , " (2,2) [2,3] " , " (416.283,435.783) [50,455] " , " (2113.93,2179.53) [1000,4000] " , " (2.6,2.08333) [1,3] " , " (2.18,2.88) [0,7] " , " (1.75,1.75) [1,2] " , " (1.5,1.75) [1,2] " , " (8.5,8.5) [8,9] " , " (3.33333,3.33333) [3,4] " , " (1.78571,2) [1,2] " , " (1.5,1.5) [1,2] "
13 , 11 , 107 , 130 , 126 , 137 , 151 , 234 , 275 , " (134.434,202.738) [8700,46400] " , " (770.467,775.4) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.35,3.76667) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (11.4933,12.0667) [638,1044] " , " (1.33333,1) [1,2] " , " (2134.88,2123.9) [2000,2350] " , " (28.7462,29.7908) [15,30] " , " (3.47794,3.625) [2,4] " , " (2.33333,2.33333) [2,3] " , " (429.392,445.292) [50,455] " , " (3298.25,2863.84) [1000,4000] " , " (1.98333,2.10333) [1,3] " , " (1.34,5.74) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9,8.7) [8,9] " , " (3,3.66667) [3,4] " , " (1.75,1.75) [1,2] " , " (2,2) [1,2] "
14 , 66 , 113 , 121 , 124 , 185 , 151 , 235 , 285 , " (110.841,133.053) [8700,46400] " , " (790.925,798.825) [43500,75400] " , " (0,0) [0,1] " , " (1.66667,1.66667) [1,2] " , " (3.55,3.35) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (11.0877,12.3877) [638,1044] " , " (1,1) [1,2] " , " (2217.08,2217.65) [2000,2350] " , " (23.4433,27.0623) [15,30] " , " (2.59333,2.49333) [2,4] " , " (3,3) [2,3] " , " (269.21,246.41) [50,455] " , " (3115.17,2888.65) [1000,4000] " , " (2.63333,2.98667) [1,3] " , " (2.71,2.57) [0,7] " , " (2,2) [1,2] " , " (1.85,1.85) [1,2] " , " (8.59,8.09) [8,9] " , " (3.71667,3.71667) [3,4] " , " (1.23143,1.66) [1,2] " , " (1.33333,1.33333) [1,2] "
15 , 11 , 112 , 134 , 132 , 143 , 160 , 193 , 260 , " (112.67,148.427) [8700,46400] " , " (858.3,856.2) [43500,75400] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.95,1.95) [1,2] " , " (10.26,10.46) [638,1044] " , " (1.6,1.6) [1,2] " , " (2211.25,2146.7) [2000,2350] " , " (29.7183,21.5229) [15,30] " , " (2.5,2.08333) [2,4] " , " (2,2) [2,3] " , " (418.925,418.925) [50,455] " , " (2939.73,2708.89) [1000,4000] " , " (2.47667,2.81667) [1,3] " , " (4.33333,4.53333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9,9) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1.75,1.03571) [1,2] " , " (2,2) [1,2] "
16 , 31 , 95 , 125 , 118 , 145 , 145 , 221 , 242 , " (291.916,290.196) [8700,46400] " , " (1174.08,1173.18) [43500,75400] " , " (0.333333,0.333333) [0,1] " , " (1,1) [1,2] " , " (3.6,3.6) [3,4] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (11.5217,11.9217) [638,1044] " , " (2,2) [1,2] " , " (2171.68,2171.78) [2000,2350] " , " (22.3517,22.7717) [15,30] " , " (3.7,3.7) [2,4] " , " (2,2) [2,3] " , " (182.018,182.018) [50,455] " , " (3235.14,3468.21) [1000,4000] " , " (2.95833,2.85833) [1,3] " , " (2.68,2.68) [0,7] " , " (1.75,1.75) [1,2] " , " (2,2) [1,2] " , " (9,9) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1,1) [1,2] " , " (1.35,1.35) [1,2] "
17 , 66 , 113 , 120 , 119 , 151 , 185 , 192 , 248 , " (108.495,104.481) [8700,46400] " , " (836.513,829.375) [43500,75400] " , " (0,0) [0,1] " , " (1,1.33333) [1,2] " , " (3.35,3.55) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (12.4193,11.1577) [638,1044] " , " (1,1) [1,2] " , " (2180.35,2188.59) [2000,2350] " , " (25.5937,20.319) [15,30] " , " (2.49333,2.59333) [2,4] " , " (3,3) [2,3] " , " (247.385,278.085) [50,455] " , " (2809.11,3144.44) [1000,4000] " , " (2.14667,2.08333) [1,3] " , " (2.27,3.11) [0,7] " , " (2,2) [1,2] " , " (1.6,1.85) [1,2] " , " (8.32333,8.69) [8,9] " , " (3.71667,3.71667) [3,4] " , " (1.66,1.16) [1,2] " , " (2,1.33333) [1,2] "
18 , 11 , 107 , 130 , 128 , 151 , 185 , 214 , 284 , " (152.353,176.615) [8700,46400] " , " (857.667,840.9) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.75,3.95) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (12.4933,10.2267) [638,1044] " , " (1.33333,1) [1,2] " , " (2102.74,2014.27) [2000,2350] " , " (29.0383,22.9745) [15,30] " , " (3.5,3.6) [2,4] " , " (2.33333,2.33333) [2,3] " , " (440.342,453.675) [50,455] " , " (2366.27,2566.86) [1000,4000] " , " (1.45333,2.18333) [1,3] " , " (3.7,3.84) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.5,8.5) [8,9] " , " (3.66667,3.66667) [3,4] " , " (1.75,1.03571) [1,2] " , " (2,2) [1,2] "
19 , 11 , 112 , 129 , 131 , 147 , 160 , 193 , 260 , " (123.013,142.478) [8700,46400] " , " (910.51,883.5) [43500,75400] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.66667) [3,4] " , " (0,0) [0,1] " , " (2,1.95) [1,2] " , " (11.66,10.56) [638,1044] " , " (1.6,1.6) [1,2] " , " (2112.23,2156.48) [2000,2350] " , " (22.3183,23.0033) [15,30] " , " (2.28333,2.08333) [2,4] " , " (2,2) [2,3] " , " (430.117,418.925) [50,455] " , " (3831.35,2938.81) [1000,4000] " , " (2.55,2.54333) [1,3] " , " (4.78333,4.53333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.5,9) [8,9] " , " (3.33333,3.16667) [3,4] " , " (1.25,1.25) [1,2] " , " (2,2) [1,2] "
20 , 20 , 84 , 124 , 133 , 175 , 181 , 227 , 246 , " (105.382,95.3517) [8700,46400] " , " (1040.18,1168.58) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (12.4,10.5667) [638,1044] " , " (1,1.66667) [1,2] " , " (2215.93,2239.18) [2000,2350] " , " (26.385,24.75) [15,30] " , " (3.66667,2.66667) [2,4] " , " (3,3) [2,3] " , " (173.085,225.835) [50,455] " , " (3561.64,3408.6) [1000,4000] " , " (1.86667,1.83333) [1,3] " , " (3.4,5.7) [0,7] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.13333,3.46667) [3,4] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] "
